Year,Fuel Consumption (billion gallons),Fuel Cost (billion dollars),Total Passengers (million travellers),Num of Flights (million),Fuel Price (dollars/gallon),Average Airfare (dollars)
2000,13.9037,10.8106,600,5.683,0.85,339
2001,13.1121,10.0247,560,5.968,0.725,320.62
2002,12.2872,8.6029,554,5.271,0.687,312.33
2003,12.417,10.3154,587,6.489,0.824,315.36
2004,13.38,15.1412,634,7.129,1.151,305.41
2005,13.2842,21.6829,661,7.141,1.715,307.31
2006,13.0194,25.1054,661,7.142,1.923,328.55
2007,12.9988,26.8999,681,7.455,2.131,325.26
2008,12.4694,37.1949,654,7.01,2.964,346.38
2009,11.1474,21.1685,620,6.45,1.664,310.35
2010,11.0567,25.1034,632,6.45,2.149,336.55
2011,10.8283,33.099,641,6.085,2.998,363.85
2012,10.238,32.5559,645,6.097,3.056,374.83
2013,10.1561,30.9525,648,6.369,2.92,381.95
2014,10.2926,29.5905,665,5.82,2.693,390.61
2015,10.7412,19.5996,699,5.819,1.522,375.62
