International Passenger Enplanements on US Air Carrier Flights (January 1996 - June 2016),,,,
Adapted from: https://www.rita.dot.gov/bts/acts/customized/table?adfy=1996&adfm=1&adty=2016&adtm=10&aos=0&artd=1&arti=2&arts=3&asts&astns&astt=3&ascc&ascp=1,,,,
Numbers represent passenger counts (millions),,,,
Winter: Jan-Feb-Mar,,,,
Spring: Apr-May-Jun,,,,
Summer: Jul-Aug-Sep,,,,
Autumn: Oct-Nov-Dec,,,,
Year,Winter,Spring,Summer,Autumn
1996,14.749,15.662,17.786,14.405
1998,15.645,17.004,18.272,15.341
2000,17.09,19.318,20.998,16.993
2002,15.874,17.065,18.506,16.141
2004,18.665,20.028,21.841,18.843
2006,21.384,23.44,24.22,20.818
2008,23.906,24.797,25.265,20.93
2010,21.841,23.846,26.073,22.146
2012,23.139,25.262,26.84,22.436
2014,24.163,26.857,28.173,23.439
